log10c0,omega,deltaE,gtype,h,max_batches,tf_var,environment_type,id
-3,[0;5.433742063650485e-07],[0;0.05],hill,1,1406110,1,stochastic-tf,1
-3,[0;5.518079867753731e-07],[0;0.05],hill,1,1408130,1,stochastic-tf,2
-3,[0;5.603726689678871e-07],[0;0.05],hill,1,1410200,1,stochastic-tf,3
-3,[0;5.690702846858619e-07],[0;0.05],hill,1,1412300,1,stochastic-tf,4
-3,[0;5.779028972075106e-07],[0;0.05],hill,1,1414440,1,stochastic-tf,5
-3,[0;5.868726018354556e-07],[0;0.05],hill,1,1416620,1,stochastic-tf,6
-3,[0;5.959815263937742e-07],[0;0.05],hill,1,1418850,1,stochastic-tf,7
-3,[0;6.052318317327773e-07],[0;0.05],hill,1,1421110,1,stochastic-tf,8
-3,[0;6.146257122416045e-07],[0;0.05],hill,1,1423420,1,stochastic-tf,9
-3,[0;6.241653963687945e-07],[0;0.05],hill,1,1425780,1,stochastic-tf,10
-3,[0;6.338531471509147e-07],[0;0.05],hill,1,1428170,1,stochastic-tf,11
-3,[0;6.436912627494173e-07],[0;0.05],hill,1,1430620,1,stochastic-tf,12
-3,[0;6.536820769958066e-07],[0;0.05],hill,1,1433110,1,stochastic-tf,13
-3,[0;6.638279599452888e-07],[0;0.05],hill,1,1435650,1,stochastic-tf,14
-3,[0;6.741313184389939e-07],[0;0.05],hill,1,1438240,1,stochastic-tf,15
-3,[0;6.845945966749459e-07],[0;0.05],hill,1,1440880,1,stochastic-tf,16
-3,[0;6.952202767878727e-07],[0;0.05],hill,1,1443570,1,stochastic-tf,17
-3,[0;7.060108794380377e-07],[0;0.05],hill,1,1446320,1,stochastic-tf,18
-3,[0;7.169689644091884e-07],[0;0.05],hill,1,1449110,1,stochastic-tf,19
-3,[0;7.280971312158083e-07],[0;0.05],hill,1,1451970,1,stochastic-tf,20
-3,[0;7.39398019719771e-07],[0;0.05],hill,1,1454880,1,stochastic-tf,21
-3,[0;7.508743107565892e-07],[0;0.05],hill,1,1457850,1,stochastic-tf,22
-3,[0;7.625287267713598e-07],[0;0.05],hill,1,1460880,1,stochastic-tf,23
-3,[0;7.743640324646035e-07],[0;0.05],hill,1,1463970,1,stochastic-tf,24
-3,[0;7.863830354481048e-07],[0;0.05],hill,1,1467120,1,stochastic-tf,25
-3,[0;7.985885869109547e-07],[0;0.05],hill,1,1470330,1,stochastic-tf,26
-3,[0;8.109835822959081e-07],[0;0.05],hill,1,1473620,1,stochastic-tf,27
-3,[0;8.23570961986263e-07],[0;0.05],hill,1,1476960,1,stochastic-tf,28
-3,[0;8.36353712003375e-07],[0;0.05],hill,1,1480380,1,stochastic-tf,29
-3,[0;8.49334864715025e-07],[0;0.05],hill,1,1483870,1,stochastic-tf,30
-3,[0;8.625174995547547e-07],[0;0.05],hill,1,1487430,1,stochastic-tf,31
-3,[0;8.759047437523934e-07],[0;0.05],hill,1,1491060,1,stochastic-tf,32
-3,[0;8.894997730758971e-07],[0;0.05],hill,1,1494770,1,stochastic-tf,33
-3,[0;9.033058125847283e-07],[0;0.05],hill,1,1498560,1,stochastic-tf,34
-3,[0;9.173261373949022e-07],[0;0.05],hill,1,1502430,1,stochastic-tf,35
-3,[0;9.315640734559348e-07],[0;0.05],hill,1,1506380,1,stochastic-tf,36
-3,[0;9.460229983398216e-07],[0;0.05],hill,1,1510420,1,stochastic-tf,37
-3,[0;9.607063420422916e-07],[0;0.05],hill,1,1514540,1,stochastic-tf,38
-3,[0;9.75617587796468e-07],[0;0.05],hill,1,1518750,1,stochastic-tf,39
-3,[0;9.907602728991875e-07],[0;0.05],hill,1,1523050,1,stochastic-tf,40
-3,[0;1.006137989550114e-06],[0;0.05],hill,1,1527450,1,stochastic-tf,41
-3,[0;1.02175438570391e-06],[0;0.05],hill,1,1531940,1,stochastic-tf,42
-3,[0;1.0376131659356e-06],[0;0.05],hill,1,1536530,1,stochastic-tf,43
-3,[0;1.053718092319395e-06],[0;0.05],hill,1,1541220,1,stochastic-tf,44
-3,[0;1.070072985321137e-06],[0;0.05],hill,1,1546020,1,stochastic-tf,45
-3,[0;1.086681724704611e-06],[0;0.05],hill,1,1550930,1,stochastic-tf,46
-3,[0;1.103548250451903e-06],[0;0.05],hill,1,1555940,1,stochastic-tf,47
-3,[0;1.120676563698072e-06],[0;0.05],hill,1,1561070,1,stochastic-tf,48
-3,[0;1.138070727680298e-06],[0;0.05],hill,1,1566320,1,stochastic-tf,49
-3,[0;1.155734868701791e-06],[0;0.05],hill,1,1571690,1,stochastic-tf,50
-3,[0;1.173673177110631e-06],[0;0.05],hill,1,1577180,1,stochastic-tf,51
-3,[0;1.191889908293835e-06],[0;0.05],hill,1,1582800,1,stochastic-tf,52
-3,[0;1.210389383686816e-06],[0;0.05],hill,1,1588550,1,stochastic-tf,53
-3,[0;1.229175991798547e-06],[0;0.05],hill,1,1594440,1,stochastic-tf,54
-3,[0;1.248254189252598e-06],[0;0.05],hill,1,1600460,1,stochastic-tf,55
-3,[0;1.267628501844373e-06],[0;0.05],hill,1,1606640,1,stochastic-tf,56
-3,[0;1.287303525614714e-06],[0;0.05],hill,1,1612960,1,stochastic-tf,57
-3,[0;1.307283927940211e-06],[0;0.05],hill,1,1619430,1,stochastic-tf,58
-3,[0;1.327574448640389e-06],[0;0.05],hill,1,1626060,1,stochastic-tf,59
-3,[0;1.348179901102129e-06],[0;0.05],hill,1,1632850,1,stochastic-tf,60
-3,[0;1.369105173421494e-06],[0;0.05],hill,1,1639820,1,stochastic-tf,61
-3,[0;1.390355229563318e-06],[0;0.05],hill,1,1646960,1,stochastic-tf,62
-3,[0;1.411935110538758e-06],[0;0.05],hill,1,1654270,1,stochastic-tf,63
-3,[0;1.433849935601159e-06],[0;0.05],hill,1,1661780,1,stochastic-tf,64
-3,[0;1.45610490346044e-06],[0;0.05],hill,1,1669470,1,stochastic-tf,65
-3,[0;1.478705293516372e-06],[0;0.05],hill,1,1677370,1,stochastic-tf,66
-3,[0;1.501656467110949e-06],[0;0.05],hill,1,1685470,1,stochastic-tf,67
-3,[0;1.524963868800255e-06],[0;0.05],hill,1,1693780,1,stochastic-tf,68
