log10c0,omega,deltaE,gtype,h,id
-3,[0;5.433742063650485e-07],[0;0.05],linear,NaN,1
-3,[0;5.433742063650485e-07],[0;0.05],hill,1,2
-3,[0;5.518079867753731e-07],[0;0.05],linear,NaN,3
-3,[0;5.518079867753731e-07],[0;0.05],hill,1,4
-3,[0;5.603726689678871e-07],[0;0.05],linear,NaN,5
-3,[0;5.603726689678871e-07],[0;0.05],hill,1,6
-3,[0;5.690702846858619e-07],[0;0.05],linear,NaN,7
-3,[0;5.690702846858619e-07],[0;0.05],hill,1,8
-3,[0;5.779028972075106e-07],[0;0.05],linear,NaN,9
-3,[0;5.779028972075106e-07],[0;0.05],hill,1,10
-3,[0;5.868726018354556e-07],[0;0.05],linear,NaN,11
-3,[0;5.868726018354556e-07],[0;0.05],hill,1,12
-3,[0;5.959815263937742e-07],[0;0.05],linear,NaN,13
-3,[0;5.959815263937742e-07],[0;0.05],hill,1,14
-3,[0;6.052318317327773e-07],[0;0.05],linear,NaN,15
-3,[0;6.052318317327773e-07],[0;0.05],hill,1,16
-3,[0;6.146257122416045e-07],[0;0.05],linear,NaN,17
-3,[0;6.146257122416045e-07],[0;0.05],hill,1,18
-3,[0;6.241653963687945e-07],[0;0.05],linear,NaN,19
-3,[0;6.241653963687945e-07],[0;0.05],hill,1,20
-3,[0;6.338531471509147e-07],[0;0.05],linear,NaN,21
-3,[0;6.338531471509147e-07],[0;0.05],hill,1,22
-3,[0;6.436912627494173e-07],[0;0.05],linear,NaN,23
-3,[0;6.436912627494173e-07],[0;0.05],hill,1,24
-3,[0;6.536820769958066e-07],[0;0.05],linear,NaN,25
-3,[0;6.536820769958066e-07],[0;0.05],hill,1,26
-3,[0;6.638279599452888e-07],[0;0.05],linear,NaN,27
-3,[0;6.638279599452888e-07],[0;0.05],hill,1,28
-3,[0;6.741313184389939e-07],[0;0.05],linear,NaN,29
-3,[0;6.741313184389939e-07],[0;0.05],hill,1,30
-3,[0;6.845945966749459e-07],[0;0.05],linear,NaN,31
-3,[0;6.845945966749459e-07],[0;0.05],hill,1,32
-3,[0;6.952202767878727e-07],[0;0.05],linear,NaN,33
-3,[0;6.952202767878727e-07],[0;0.05],hill,1,34
-3,[0;7.060108794380377e-07],[0;0.05],linear,NaN,35
-3,[0;7.060108794380377e-07],[0;0.05],hill,1,36
-3,[0;7.169689644091884e-07],[0;0.05],linear,NaN,37
-3,[0;7.169689644091884e-07],[0;0.05],hill,1,38
-3,[0;7.280971312158083e-07],[0;0.05],linear,NaN,39
-3,[0;7.280971312158083e-07],[0;0.05],hill,1,40
-3,[0;7.39398019719771e-07],[0;0.05],linear,NaN,41
-3,[0;7.39398019719771e-07],[0;0.05],hill,1,42
-3,[0;7.508743107565892e-07],[0;0.05],linear,NaN,43
-3,[0;7.508743107565892e-07],[0;0.05],hill,1,44
-3,[0;7.625287267713598e-07],[0;0.05],linear,NaN,45
-3,[0;7.625287267713598e-07],[0;0.05],hill,1,46
-3,[0;7.743640324646035e-07],[0;0.05],linear,NaN,47
-3,[0;7.743640324646035e-07],[0;0.05],hill,1,48
-3,[0;7.863830354481048e-07],[0;0.05],linear,NaN,49
-3,[0;7.863830354481048e-07],[0;0.05],hill,1,50
-3,[0;7.985885869109547e-07],[0;0.05],linear,NaN,51
-3,[0;7.985885869109547e-07],[0;0.05],hill,1,52
-3,[0;8.109835822959081e-07],[0;0.05],linear,NaN,53
-3,[0;8.109835822959081e-07],[0;0.05],hill,1,54
-3,[0;8.23570961986263e-07],[0;0.05],linear,NaN,55
-3,[0;8.23570961986263e-07],[0;0.05],hill,1,56
-3,[0;8.36353712003375e-07],[0;0.05],linear,NaN,57
