log10c0,Omega,deltaE,gtype,h,max_batches,tf_var,environment_type,id
-3,[0;5.433742063650485e-07],[0;0.05],hill,1,843666,1,stochastic-c0,1
-3,[0;5.518079867753731e-07],[0;0.05],hill,1,844878,1,stochastic-c0,2
-3,[0;5.603726689678871e-07],[0;0.05],hill,1,846120,1,stochastic-c0,3
-3,[0;5.690702846858619e-07],[0;0.05],hill,1,847380,1,stochastic-c0,4
-3,[0;5.779028972075106e-07],[0;0.05],hill,1,848664,1,stochastic-c0,5
-3,[0;5.868726018354556e-07],[0;0.05],hill,1,849978,1,stochastic-c0,6
-3,[0;5.959815263937742e-07],[0;0.05],hill,1,851310,1,stochastic-c0,7
-3,[0;6.052318317327773e-07],[0;0.05],hill,1,852666,1,stochastic-c0,8
-3,[0;6.146257122416045e-07],[0;0.05],hill,1,854052,1,stochastic-c0,9
-3,[0;6.241653963687945e-07],[0;0.05],hill,1,855468,1,stochastic-c0,10
-3,[0;6.338531471509147e-07],[0;0.05],hill,1,856908,1,stochastic-c0,11
-3,[0;6.436912627494173e-07],[0;0.05],hill,1,858372,1,stochastic-c0,12
-3,[0;6.536820769958066e-07],[0;0.05],hill,1,859866,1,stochastic-c0,13
-3,[0;6.638279599452888e-07],[0;0.05],hill,1,861390,1,stochastic-c0,14
-3,[0;6.741313184389939e-07],[0;0.05],hill,1,862944,1,stochastic-c0,15
-3,[0;6.845945966749459e-07],[0;0.05],hill,1,864528,1,stochastic-c0,16
-3,[0;6.952202767878727e-07],[0;0.05],hill,1,866142,1,stochastic-c0,17
-3,[0;7.060108794380377e-07],[0;0.05],hill,1,867792,1,stochastic-c0,18
-3,[0;7.169689644091884e-07],[0;0.05],hill,1,869472,1,stochastic-c0,19
-3,[0;7.280971312158083e-07],[0;0.05],hill,1,871182,1,stochastic-c0,20
-3,[0;7.39398019719771e-07],[0;0.05],hill,1,872928,1,stochastic-c0,21
-3,[0;7.508743107565892e-07],[0;0.05],hill,1,874710,1,stochastic-c0,22
-3,[0;7.625287267713598e-07],[0;0.05],hill,1,876528,1,stochastic-c0,23
-3,[0;7.743640324646035e-07],[0;0.05],hill,1,878382,1,stochastic-c0,24
-3,[0;7.863830354481048e-07],[0;0.05],hill,1,880272,1,stochastic-c0,25
-3,[0;7.985885869109547e-07],[0;0.05],hill,1,882198,1,stochastic-c0,26
-3,[0;8.109835822959081e-07],[0;0.05],hill,1,884172,1,stochastic-c0,27
-3,[0;8.23570961986263e-07],[0;0.05],hill,1,886176,1,stochastic-c0,28
-3,[0;8.36353712003375e-07],[0;0.05],hill,1,888228,1,stochastic-c0,29
-3,[0;8.49334864715025e-07],[0;0.05],hill,1,890322,1,stochastic-c0,30
-3,[0;8.625174995547547e-07],[0;0.05],hill,1,892458,1,stochastic-c0,31
-3,[0;8.759047437523934e-07],[0;0.05],hill,1,894636,1,stochastic-c0,32
-3,[0;8.894997730758971e-07],[0;0.05],hill,1,896862,1,stochastic-c0,33
-3,[0;9.033058125847283e-07],[0;0.05],hill,1,899136,1,stochastic-c0,34
-3,[0;9.173261373949022e-07],[0;0.05],hill,1,901458,1,stochastic-c0,35
-3,[0;9.315640734559348e-07],[0;0.05],hill,1,903828,1,stochastic-c0,36
-3,[0;9.460229983398216e-07],[0;0.05],hill,1,906252,1,stochastic-c0,37
-3,[0;9.607063420422916e-07],[0;0.05],hill,1,908724,1,stochastic-c0,38
-3,[0;9.75617587796468e-07],[0;0.05],hill,1,911250,1,stochastic-c0,39
-3,[0;9.907602728991875e-07],[0;0.05],hill,1,913830,1,stochastic-c0,40
-3,[0;1.006137989550114e-06],[0;0.05],hill,1,916470,1,stochastic-c0,41
-3,[0;1.02175438570391e-06],[0;0.05],hill,1,919164,1,stochastic-c0,42
-3,[0;1.0376131659356e-06],[0;0.05],hill,1,921918,1,stochastic-c0,43
-3,[0;1.053718092319395e-06],[0;0.05],hill,1,924732,1,stochastic-c0,44
-3,[0;1.070072985321137e-06],[0;0.05],hill,1,927612,1,stochastic-c0,45
-3,[0;1.086681724704611e-06],[0;0.05],hill,1,930558,1,stochastic-c0,46
-3,[0;1.103548250451903e-06],[0;0.05],hill,1,933564,1,stochastic-c0,47
-3,[0;1.120676563698072e-06],[0;0.05],hill,1,936642,1,stochastic-c0,48
-3,[0;1.138070727680298e-06],[0;0.05],hill,1,939792,1,stochastic-c0,49
-3,[0;1.155734868701791e-06],[0;0.05],hill,1,943014,1,stochastic-c0,50
-3,[0;1.173673177110631e-06],[0;0.05],hill,1,946308,1,stochastic-c0,51
-3,[0;1.191889908293835e-06],[0;0.05],hill,1,949680,1,stochastic-c0,52
-3,[0;1.210389383686816e-06],[0;0.05],hill,1,953130,1,stochastic-c0,53
-3,[0;1.229175991798547e-06],[0;0.05],hill,1,956664,1,stochastic-c0,54
-3,[0;1.248254189252598e-06],[0;0.05],hill,1,960282,1,stochastic-c0,55
-3,[0;1.267628501844373e-06],[0;0.05],hill,1,963984,1,stochastic-c0,56
-3,[0;1.287303525614714e-06],[0;0.05],hill,1,967776,1,stochastic-c0,57
-3,[0;1.307283927940211e-06],[0;0.05],hill,1,971658,1,stochastic-c0,58
-3,[0;1.327574448640389e-06],[0;0.05],hill,1,975636,1,stochastic-c0,59
-3,[0;1.348179901102129e-06],[0;0.05],hill,1,979716,1,stochastic-c0,60
-3,[0;1.369105173421494e-06],[0;0.05],hill,1,983892,1,stochastic-c0,61
-3,[0;1.390355229563318e-06],[0;0.05],hill,1,988176,1,stochastic-c0,62
-3,[0;1.411935110538758e-06],[0;0.05],hill,1,992562,1,stochastic-c0,63
-3,[0;1.433849935601159e-06],[0;0.05],hill,1,997068,1,stochastic-c0,64
-3,[0;1.45610490346044e-06],[0;0.05],hill,1,1001682,1,stochastic-c0,65
-3,[0;1.478705293516372e-06],[0;0.05],hill,1,1006422,1,stochastic-c0,66
-3,[0;1.501656467110949e-06],[0;0.05],hill,1,1011282,1,stochastic-c0,67
-3,[0;1.524963868800255e-06],[0;0.05],hill,1,1016268,1,stochastic-c0,68
-3,[0;1.548633027646007e-06],[0;0.05],hill,1,1021386,1,stochastic-c0,69
-3,[0;1.57266955852721e-06],[0;0.05],hill,1,1026642,1,stochastic-c0,70
-3,[0;1.597079163472108e-06],[0;0.05],hill,1,1032042,1,stochastic-c0,71
-3,[0;1.62186763301087e-06],[0;0.05],hill,1,1037592,1,stochastic-c0,72
-3,[0;1.647040847549205e-06],[0;0.05],hill,1,1043286,1,stochastic-c0,73
-3,[0;1.672604778763365e-06],[0;0.05],hill,1,1049142,1,stochastic-c0,74
-3,[0;1.698565491016738e-06],[0;0.05],hill,1,1055166,1,stochastic-c0,75
-3,[0;1.724929142798483e-06],[0;0.05],hill,1,1061358,1,stochastic-c0,76
-3,[0;1.751701988184443e-06],[0;0.05],hill,1,1067724,1,stochastic-c0,77
-3,[0;1.778890378320782e-06],[0;0.05],hill,1,1074276,1,stochastic-c0,78
-3,[0;1.806500762930602e-06],[0;0.05],hill,1,1081020,1,stochastic-c0,79
-3,[0;1.834539691843995e-06],[0;0.05],hill,1,1087962,1,stochastic-c0,80
-3,[0;1.863013816551785e-06],[0;0.05],hill,1,1095114,1,stochastic-c0,81
-3,[0;1.891929891783451e-06],[0;0.05],hill,1,1102482,1,stochastic-c0,82
-3,[0;1.921294777109474e-06],[0;0.05],hill,1,1110072,1,stochastic-c0,83
-3,[0;1.951115438568621e-06],[0;0.05],hill,1,1117896,1,stochastic-c0,84
-3,[0;1.981398950320419e-06],[0;0.05],hill,1,600000,1,stochastic-c0,85
-3,[0;2.012152496323344e-06],[0;0.05],hill,1,600000,1,stochastic-c0,86
-3,[0;2.043383372038991e-06],[0;0.05],hill,1,600000,1,stochastic-c0,87
-3,[0;2.075098986162764e-06],[0;0.05],hill,1,600000,1,stochastic-c0,88
-3,[0;2.107306862381357e-06],[0;0.05],hill,1,600000,1,stochastic-c0,89
-3,[0;2.140014641157582e-06],[0;0.05],hill,1,600000,1,stochastic-c0,90
-3,[0;2.173230081542835e-06],[0;0.05],hill,1,600000,1,stochastic-c0,91
-3,[0;2.206961063017742e-06],[0;0.05],hill,1,600000,1,stochastic-c0,92
-3,[0;2.24121558736136e-06],[0;0.05],hill,1,600000,1,stochastic-c0,93
-3,[0;2.276001780549382e-06],[0;0.05],hill,1,600000,1,stochastic-c0,94
-3,[0;2.311327894681795e-06],[0;0.05],hill,1,600000,1,stochastic-c0,95
-3,[0;2.347202309940487e-06],[0;0.05],hill,1,600000,1,stochastic-c0,96
-3,[0;2.383633536577224e-06],[0;0.05],hill,1,600000,1,stochastic-c0,97
-3,[0;2.420630216932478e-06],[0;0.05],hill,1,600000,1,stochastic-c0,98
-3,[0;2.458201127485582e-06],[0;0.05],hill,1,600000,1,stochastic-c0,99
-3,[0;2.496355180936722e-06],[0;0.05],hill,1,600000,1,stochastic-c0,100
-3,[0;2.535101428321254e-06],[0;0.05],hill,1,600000,1,stochastic-c0,101
-3,[0;2.574449061156807e-06],[0;0.05],hill,1,600000,1,stochastic-c0,102
-3,[0;2.614407413623718e-06],[0;0.05],hill,1,600000,1,stochastic-c0,103
-3,[0;2.65498596477933e-06],[0;0.05],hill,1,600000,1,stochastic-c0,104
-3,[0;2.696194340806654e-06],[0;0.05],hill,1,600000,1,stochastic-c0,105
-3,[0;2.738042317297918e-06],[0;0.05],hill,1,600000,1,stochastic-c0,106
-3,[0;2.78053982157355e-06],[0;0.05],hill,1,600000,1,stochastic-c0,107
-3,[0;2.823696935037189e-06],[0;0.05],hill,1,600000,1,stochastic-c0,108
-3,[0;2.867523895567237e-06],[0;0.05],hill,1,600000,1,stochastic-c0,109
-3,[0;2.912031099945513e-06],[0;0.05],hill,1,600000,1,stochastic-c0,110
-3,[0;2.957229106323602e-06],[0;0.05],hill,1,600000,1,stochastic-c0,111
-3,[0;3.003128636727507e-06],[0;0.05],hill,1,600000,1,stochastic-c0,112
-3,[0;3.049740579601178e-06],[0;0.05],hill,1,600000,1,stochastic-c0,113
-3,[0;3.097075992389493e-06],[0;0.05],hill,1,600000,1,stochastic-c0,114
-3,[0;3.14514610416133e-06],[0;0.05],hill,1,600000,1,stochastic-c0,115
-3,[0;3.19396231827338e-06],[0;0.05],hill,1,600000,1,stochastic-c0,116
-3,[0;3.243536215075305e-06],[0;0.05],hill,1,600000,1,stochastic-c0,117
-3,[0;3.293879554656829e-06],[0;0.05],hill,1,600000,1,stochastic-c0,118
-3,[0;3.345004279637556e-06],[0;0.05],hill,1,600000,1,stochastic-c0,119
-3,[0;3.396922517999983e-06],[0;0.05],hill,1,600000,1,stochastic-c0,120
-3,[0;3.449646585966603e-06],[0;0.05],hill,1,600000,1,stochastic-c0,121
-3,[0;3.503188990921539e-06],[0;0.05],hill,1,600000,1,stochastic-c0,122
-3,[0;3.55756243437765e-06],[0;0.05],hill,1,600000,1,stochastic-c0,123
-3,[0;3.612779814989566e-06],[0;0.05],hill,1,600000,1,stochastic-c0,124
-3,[0;3.668854231613615e-06],[0;0.05],hill,1,600000,1,stochastic-c0,125
-3,[0;3.725798986415111e-06],[0;0.05],hill,1,600000,1,stochastic-c0,126
-3,[0;3.783627588024008e-06],[0;0.05],hill,1,600000,1,stochastic-c0,127
-3,[0;3.842353754739398e-06],[0;0.05],hill,1,600000,1,stochastic-c0,128
-3,[0;3.901991417783874e-06],[0;0.05],hill,1,600000,1,stochastic-c0,129
-3,[0;3.962554724608283e-06],[0;0.05],hill,1,600000,1,stochastic-c0,130
-3,[0;4.024058042247893e-06],[0;0.05],hill,1,600000,1,stochastic-c0,131
-3,[0;4.086515960730529e-06],[0;0.05],hill,1,600000,1,stochastic-c0,132
-3,[0;4.149943296537731e-06],[0;0.05],hill,1,600000,1,stochastic-c0,133
-3,[0;4.214355096119509e-06],[0;0.05],hill,1,600000,1,stochastic-c0,134
-3,[0;4.279766639463777e-06],[0;0.05],hill,1,600000,1,stochastic-c0,135
-3,[0;4.346193443721056e-06],[0;0.05],hill,1,600000,1,stochastic-c0,136
-3,[0;4.413651266885578e-06],[0;0.05],hill,1,600000,1,stochastic-c0,137
-3,[0;4.482156111533377e-06],[0;0.05],hill,1,600000,1,stochastic-c0,138
-3,[0;4.551724228618551e-06],[0;0.05],hill,1,600000,1,stochastic-c0,139
-3,[0;4.622372121328291e-06],[0;0.05],hill,1,600000,1,stochastic-c0,140
-3,[0;4.694116548997901e-06],[0;0.05],hill,1,600000,1,stochastic-c0,141
-3,[0;4.766974531086432e-06],[0;0.05],hill,1,600000,1,stochastic-c0,142
-3,[0;4.840963351214164e-06],[0;0.05],hill,1,600000,1,stochastic-c0,143
-3,[0;4.916100561262621e-06],[0;0.05],hill,1,600000,1,stochastic-c0,144
-3,[0;4.992403985538355e-06],[0;0.05],hill,1,600000,1,stochastic-c0,145
-3,[0;5.069891725001217e-06],[0;0.05],hill,1,600000,1,stochastic-c0,146
-3,[0;5.148582161558407e-06],[0;0.05],hill,1,600000,1,stochastic-c0,147
-3,[0;5.22849396242501e-06],[0;0.05],hill,1,600000,1,stochastic-c0,148
-3,[0;5.309646084552382e-06],[0;0.05],hill,1,600000,1,stochastic-c0,149
-3,[0;5.392057779125099e-06],[0;0.05],hill,1,600000,1,stochastic-c0,150
-3,[0;5.475748596127871e-06],[0;0.05],hill,1,600000,1,stochastic-c0,151
-3,[0;5.560738388983174e-06],[0;0.05],hill,1,600000,1,stochastic-c0,152
-3,[0;5.64704731926103e-06],[0;0.05],hill,1,600000,1,stochastic-c0,153
-3,[0;5.73469586146172e-06],[0;0.05],hill,1,600000,1,stochastic-c0,154
-3,[0;5.823704807872902e-06],[0;0.05],hill,1,600000,1,stochastic-c0,155
-3,[0;5.914095273501939e-06],[0;0.05],hill,1,600000,1,stochastic-c0,156
-3,[0;6.005888701084965e-06],[0;0.05],hill,1,600000,1,stochastic-c0,157
-3,[0;6.099106866173509e-06],[0;0.05],hill,1,600000,1,stochastic-c0,158
-3,[0;6.193771882300265e-06],[0;0.05],hill,1,600000,1,stochastic-c0,159
-3,[0;6.28990620622484e-06],[0;0.05],hill,1,600000,1,stochastic-c0,160
-3,[0;6.387532643261124e-06],[0;0.05],hill,1,600000,1,stochastic-c0,161
-3,[0;6.486674352687144e-06],[0;0.05],hill,1,600000,1,stochastic-c0,162
-3,[0;6.587354853239086e-06],[0;0.05],hill,1,600000,1,stochastic-c0,163
-3,[0;6.689598028690396e-06],[0;0.05],hill,1,600000,1,stochastic-c0,164
-3,[0;6.793428133517661e-06],[0;0.05],hill,1,600000,1,stochastic-c0,165
-3,[0;6.898869798654247e-06],[0;0.05],hill,1,600000,1,stochastic-c0,166
-3,[0;7.005948037333434e-06],[0;0.05],hill,1,600000,1,stochastic-c0,167
-3,[0;7.114688251022031e-06],[0;0.05],hill,1,600000,1,stochastic-c0,168
-3,[0;7.225116235446313e-06],[0;0.05],hill,1,600000,1,stochastic-c0,169
-3,[0;7.337258186711258e-06],[0;0.05],hill,1,600000,1,stochastic-c0,170
-3,[0;7.451140707514991e-06],[0;0.05],hill,1,600000,1,stochastic-c0,171
-3,[0;7.566790813459449e-06],[0;0.05],hill,1,600000,1,stochastic-c0,172
-3,[0;7.684235939459238e-06],[0;0.05],hill,1,600000,1,stochastic-c0,173
-3,[0;7.803503946249713e-06],[0;0.05],hill,1,600000,1,stochastic-c0,174
-3,[0;7.924623126996319e-06],[0;0.05],hill,1,600000,1,stochastic-c0,175
-3,[0;8.047622214006287e-06],[0;0.05],hill,1,600000,1,stochastic-c0,176
-3,[0;8.172530385544655e-06],[0;0.05],hill,1,600000,1,stochastic-c0,177
-3,[0;8.299377272756072e-06],[0;0.05],hill,1,600000,1,stochastic-c0,178
-3,[0;8.428192966693961e-06],[0;0.05],hill,1,600000,1,stochastic-c0,179
-3,[0;8.559008025458796e-06],[0;0.05],hill,1,600000,1,stochastic-c0,180
-3,[0;8.691853481447226e-06],[0;0.05],hill,1,1161996,1,stochastic-c0,181
-3,[0;8.826760848713724e-06],[0;0.05],hill,1,1123920,1,stochastic-c0,182
-3,[0;8.963762130446426e-06],[0;0.05],hill,1,1087920,1,stochastic-c0,183
-3,[0;9.102889826559003e-06],[0;0.05],hill,1,1053840,1,stochastic-c0,184
-3,[0;9.244176941400427e-06],[0;0.05],hill,1,1021518,1,stochastic-c0,185
-3,[0;9.387656991584425e-06],[0;0.05],hill,1,990828,1,stochastic-c0,186
-3,[0;9.533364013940362e-06],[0;0.05],hill,1,961638,1,stochastic-c0,187
-3,[0;9.68133257358754e-06],[0;0.05],hill,1,933840,1,stochastic-c0,188
-3,[0;9.831597772134883e-06],[0;0.05],hill,1,907344,1,stochastic-c0,189
-3,[0;9.984195256007914e-06],[0;0.05],hill,1,882054,1,stochastic-c0,190
-3,[0;1.013916122490487e-05],[0;0.05],hill,1,857886,1,stochastic-c0,191
-3,[0;1.029653244038409e-05],[0;0.05],hill,1,834768,1,stochastic-c0,192
-3,[0;1.045634623458476e-05],[0;0.05],hill,1,812634,1,stochastic-c0,193
-3,[0;1.061864051908297e-05],[0;0.05],hill,1,791424,1,stochastic-c0,194
-3,[0;1.078345379388526e-05],[0;0.05],hill,1,771072,1,stochastic-c0,195
-3,[0;1.095082515656164e-05],[0;0.05],hill,1,751536,1,stochastic-c0,196
-3,[0;1.112079431152046e-05],[0;0.05],hill,1,732768,1,stochastic-c0,197
-3,[0;1.129340157942733e-05],[0;0.05],hill,1,714714,1,stochastic-c0,198
-3,[0;1.146868790677007e-05],[0;0.05],hill,1,697344,1,stochastic-c0,199
-3,[0;1.164669487557209e-05],[0;0.05],hill,1,680616,1,stochastic-c0,200
-3,[0;1.18274647132567e-05],[0;0.05],hill,1,664494,1,stochastic-c0,201
-3,[0;1.20110403026645e-05],[0;0.05],hill,1,648948,1,stochastic-c0,202
-3,[0;1.21974651922261e-05],[0;0.05],hill,1,633948,1,stochastic-c0,203
-3,[0;1.238678360629286e-05],[0;0.05],hill,1,619464,1,stochastic-c0,204
-3,[0;1.257904045562789e-05],[0;0.05],hill,1,605472,1,stochastic-c0,205
-3,[0;1.277428134806008e-05],[0;0.05],hill,1,591942,1,stochastic-c0,206
-3,[0;1.297255259930321e-05],[0;0.05],hill,1,578862,1,stochastic-c0,207
-3,[0;1.317390124394316e-05],[0;0.05],hill,1,566202,1,stochastic-c0,208
-3,[0;1.337837504659558e-05],[0;0.05],hill,1,553944,1,stochastic-c0,209
-3,[0;1.35860225132369e-05],[0;0.05],hill,1,542076,1,stochastic-c0,210
-3,[0;1.379689290271098e-05],[0;0.05],hill,1,530574,1,stochastic-c0,211
-3,[0;1.401103623841444e-05],[0;0.05],hill,1,519420,1,stochastic-c0,212
-3,[0;1.422850332016341e-05],[0;0.05],hill,1,508602,1,stochastic-c0,213
-3,[0;1.444934573624453e-05],[0;0.05],hill,1,498102,1,stochastic-c0,214
-3,[0;1.46736158756528e-05],[0;0.05],hill,1,487914,1,stochastic-c0,215
-3,[0;1.490136694051945e-05],[0;0.05],hill,1,478020,1,stochastic-c0,216
-3,[0;1.513265295873277e-05],[0;0.05],hill,1,468408,1,stochastic-c0,217
-3,[0;1.536752879675487e-05],[0;0.05],hill,1,459066,1,stochastic-c0,218
-3,[0;1.560605017263722e-05],[0;0.05],hill,1,449982,1,stochastic-c0,219
-3,[0;1.584827366923821e-05],[0;0.05],hill,1,441150,1,stochastic-c0,220
-3,[0;1.6094256747646e-05],[0;0.05],hill,1,432558,1,stochastic-c0,221
-3,[0;1.634405776080971e-05],[0;0.05],hill,1,424194,1,stochastic-c0,222
-3,[0;1.659773596738201e-05],[0;0.05],hill,1,416052,1,stochastic-c0,223
-3,[0;1.685535154577662e-05],[0;0.05],hill,1,408126,1,stochastic-c0,224
-3,[0;1.711696560844412e-05],[0;0.05],hill,1,400410,1,stochastic-c0,225
-3,[0;1.738264021636931e-05],[0;0.05],hill,1,392886,1,stochastic-c0,226
-3,[0;1.765243839379333e-05],[0;0.05],hill,1,385554,1,stochastic-c0,227
-3,[0;1.792642414316477e-05],[0;0.05],hill,1,378408,1,stochastic-c0,228
-3,[0;1.820466246032221e-05],[0;0.05],hill,1,371442,1,stochastic-c0,229
-3,[0;1.848721934991313e-05],[0;0.05],hill,1,364644,1,stochastic-c0,230
-3,[0;1.877416184105136e-05],[0;0.05],hill,1,358014,1,stochastic-c0,231
-3,[0;1.906555800321838e-05],[0;0.05],hill,1,351546,1,stochastic-c0,232
-3,[0;1.936147696241057e-05],[0;0.05],hill,1,345234,1,stochastic-c0,233
-3,[0;1.966198891753792e-05],[0;0.05],hill,1,339066,1,stochastic-c0,234
-3,[0;1.996716515707646e-05],[0;0.05],hill,1,333048,1,stochastic-c0,235
-3,[0;2.027707807597997e-05],[0;0.05],hill,1,327168,1,stochastic-c0,236
-3,[0;2.059180119285334e-05],[0;0.05],hill,1,321426,1,stochastic-c0,237
-3,[0;2.091140916739329e-05],[0;0.05],hill,1,315816,1,stochastic-c0,238
-3,[0;2.123597781809906e-05],[0;0.05],hill,1,310332,1,stochastic-c0,239
-3,[0;2.156558414025865e-05],[0;0.05],hill,1,304968,1,stochastic-c0,240
-3,[0;2.19003063242136e-05],[0;0.05],hill,1,299730,1,stochastic-c0,241
-3,[0;2.224022377390788e-05],[0;0.05],hill,1,294606,1,stochastic-c0,242
-3,[0;2.258541712572404e-05],[0;0.05],hill,1,289596,1,stochastic-c0,243
-3,[0;2.293596826761238e-05],[0;0.05],hill,1,284694,1,stochastic-c0,244
-3,[0;2.329196035851638e-05],[0;0.05],hill,1,279900,1,stochastic-c0,245
-3,[0;2.365347784810023e-05],[0;0.05],hill,1,275208,1,stochastic-c0,246
-3,[0;2.4020606496782e-05],[0;0.05],hill,1,270612,1,stochastic-c0,247
-3,[0;2.439343339607831e-05],[0;0.05],hill,1,266118,1,stochastic-c0,248
-3,[0;2.477204698926415e-05],[0;0.05],hill,1,261720,1,stochastic-c0,249
-3,[0;2.515653709235407e-05],[0;0.05],hill,1,257412,1,stochastic-c0,250
-3,[0;2.554699491540821e-05],[0;0.05],hill,1,253194,1,stochastic-c0,251
-3,[0;2.594351308416995e-05],[0;0.05],hill,1,249066,1,stochastic-c0,252
-3,[0;2.634618566203842e-05],[0;0.05],hill,1,245022,1,stochastic-c0,253
-3,[0;2.675510817238297e-05],[0;0.05],hill,1,241056,1,stochastic-c0,254
-3,[0;2.717037762120317e-05],[0;0.05],hill,1,237174,1,stochastic-c0,255
-3,[0;2.759209252014131e-05],[0;0.05],hill,1,233370,1,stochastic-c0,256
-3,[0;2.802035290985121e-05],[0;0.05],hill,1,229644,1,stochastic-c0,257
-3,[0;2.845526038373068e-05],[0;0.05],hill,1,225990,1,stochastic-c0,258
-3,[0;2.88969181120214e-05],[0;0.05],hill,1,222408,1,stochastic-c0,259
-3,[0;2.934543086628378e-05],[0;0.05],hill,1,218898,1,stochastic-c0,260
-3,[0;2.980090504425073e-05],[0;0.05],hill,1,215460,1,stochastic-c0,261
-3,[0;3.026344869506822e-05],[0;0.05],hill,1,212082,1,stochastic-c0,262
-3,[0;3.073317154492654e-05],[0;0.05],hill,1,208776,1,stochastic-c0,263
-3,[0;3.121018502309046e-05],[0;0.05],hill,1,205530,1,stochastic-c0,264
-3,[0;3.16946022883323e-05],[0;0.05],hill,1,202350,1,stochastic-c0,265
-3,[0;3.218653825577641e-05],[0;0.05],hill,1,199230,1,stochastic-c0,266
-3,[0;3.26861096241592e-05],[0;0.05],hill,1,196164,1,stochastic-c0,267
-3,[0;3.319343490351329e-05],[0;0.05],hill,1,193164,1,stochastic-c0,268
-3,[0;3.370863444328041e-05],[0;0.05],hill,1,190212,1,stochastic-c0,269
-3,[0;3.42318304608616e-05],[0;0.05],hill,1,187320,1,stochastic-c0,270
-3,[0;3.476314707060949e-05],[0;0.05],hill,1,184482,1,stochastic-c0,271
-3,[0;3.530271031327172e-05],[0;0.05],hill,1,181698,1,stochastic-c0,272
-3,[0;3.585064818589015e-05],[0;0.05],hill,1,178968,1,stochastic-c0,273
-3,[0;3.640709067216539e-05],[0;0.05],hill,1,176286,1,stochastic-c0,274
-3,[0;3.697216977329133e-05],[0;0.05],hill,1,173652,1,stochastic-c0,275
-3,[0;3.754601953926954e-05],[0;0.05],hill,1,171066,1,stochastic-c0,276
-3,[0;3.812877610070857e-05],[0;0.05],hill,1,168528,1,stochastic-c0,277
-3,[0;3.87205777011175e-05],[0;0.05],hill,1,166038,1,stochastic-c0,278
-3,[0;3.932156472970071e-05],[0;0.05],hill,1,163596,1,stochastic-c0,279
-3,[0;3.993187975466137e-05],[0;0.05],hill,1,161190,1,stochastic-c0,280
-3,[0;4.055166755702173e-05],[0;0.05],hill,1,158832,1,stochastic-c0,281
-3,[0;4.11810751649688e-05],[0;0.05],hill,1,156522,1,stochastic-c0,282
-3,[0;4.182025188873298e-05],[0;0.05],hill,1,154248,1,stochastic-c0,283
-3,[0;4.246934935600784e-05],[0;0.05],hill,1,152016,1,stochastic-c0,284
-3,[0;4.312852154791954e-05],[0;0.05],hill,1,149820,1,stochastic-c0,285
-3,[0;4.379792483555498e-05],[0;0.05],hill,1,147666,1,stochastic-c0,286
-3,[0;4.44777180170568e-05],[0;0.05],hill,1,145554,1,stochastic-c0,287
-3,[0;4.516806235529391e-05],[0;0.05],hill,1,143478,1,stochastic-c0,288
-3,[0;4.586912161611661e-05],[0;0.05],hill,1,141438,1,stochastic-c0,289
-3,[0;4.658106210720583e-05],[0;0.05],hill,1,139434,1,stochastic-c0,290
-3,[0;4.730405271752547e-05],[0;0.05],hill,1,137466,1,stochastic-c0,291
-3,[0;4.803826495738657e-05],[0;0.05],hill,1,135528,1,stochastic-c0,292
-3,[0;4.878387299913342e-05],[0;0.05],hill,1,133632,1,stochastic-c0,293
-3,[0;4.954105371846147e-05],[0;0.05],hill,1,131766,1,stochastic-c0,294
-3,[0;5.030998673637666e-05],[0;0.05],hill,1,129936,1,stochastic-c0,295
-3,[0;5.109085446180544e-05],[0;0.05],hill,1,128136,1,stochastic-c0,296
-3,[0;5.188384213486631e-05],[0;0.05],hill,1,126366,1,stochastic-c0,297
-3,[0;5.26891378708133e-05],[0;0.05],hill,1,124632,1,stochastic-c0,298
-3,[0;5.35069327046615e-05],[0;0.05],hill,1,122928,1,stochastic-c0,299
-3,[0;5.433742063650485e-05],[0;0.05],hill,1,121248,1,stochastic-c0,300
-3,[0;1.086748412730097e-05],[0;1],hill,1,108228,1,stochastic-c0,301
-3,[0;1.103615973550746e-05],[0;1],hill,1,108402,1,stochastic-c0,302
-3,[0;1.120745337935774e-05],[0;1],hill,1,108582,1,stochastic-c0,303
-3,[0;1.138140569371724e-05],[0;1],hill,1,108762,1,stochastic-c0,304
-3,[0;1.155805794415021e-05],[0;1],hill,1,108942,1,stochastic-c0,305
-3,[0;1.173745203670911e-05],[0;1],hill,1,109128,1,stochastic-c0,306
-3,[0;1.191963052787549e-05],[0;1],hill,1,109320,1,stochastic-c0,307
-3,[0;1.210463663465555e-05],[0;1],hill,1,109512,1,stochastic-c0,308
-3,[0;1.229251424483209e-05],[0;1],hill,1,109710,1,stochastic-c0,309
-3,[0;1.248330792737589e-05],[0;1],hill,1,109914,1,stochastic-c0,310
-3,[0;1.267706294301829e-05],[0;1],hill,1,110118,1,stochastic-c0,311
-3,[0;1.287382525498835e-05],[0;1],hill,1,110328,1,stochastic-c0,312
-3,[0;1.307364153991613e-05],[0;1],hill,1,110544,1,stochastic-c0,313
-3,[0;1.327655919890578e-05],[0;1],hill,1,110760,1,stochastic-c0,314
