log10c0,K,deltaE,id
-3,[1;1.004959037053058],[0;0.05],1
-3,[1;1.006600992465275],[0;0.05],2
-3,[1;1.008242947877491],[0;0.05],3
-3,[1;1.009884903289708],[0;0.05],4
-3,[1;1.011526858701924],[0;0.05],5
-3,[1;1.013168814114141],[0;0.05],6
-3,[1;1.014810769526358],[0;0.05],7
-3,[1;1.016452724938574],[0;0.05],8
-3,[1;1.018094680350791],[0;0.05],9
-3,[1;1.019736635763007],[0;0.05],10
-3,[1;1.021378591175224],[0;0.05],11
-3,[1;1.02302054658744],[0;0.05],12
-3,[1;1.024662501999657],[0;0.05],13
-3,[1;1.026304457411874],[0;0.05],14
-3,[1;1.02794641282409],[0;0.05],15
-3,[1;1.029588368236307],[0;0.05],16
-3,[1;1.031230323648523],[0;0.05],17
-3,[1;1.03287227906074],[0;0.05],18
-3,[1;1.034514234472956],[0;0.05],19
-3,[1;1.036156189885173],[0;0.05],20
-3,[1;1.037798145297389],[0;0.05],21
-3,[1;1.039440100709606],[0;0.05],22
-3,[1;1.041082056121823],[0;0.05],23
-3,[1;1.042724011534039],[0;0.05],24
-3,[1;1.044365966946256],[0;0.05],25
-3,[1;1.046007922358472],[0;0.05],26
-3,[1;1.047649877770689],[0;0.05],27
-3,[1;1.049291833182906],[0;0.05],28
-3,[1;1.050933788595122],[0;0.05],29
-3,[1;1.052575744007339],[0;0.05],30
-3,[1;1.054217699419555],[0;0.05],31
-3,[1;1.055859654831772],[0;0.05],32
-3,[1;1.057501610243988],[0;0.05],33
-3,[1;1.059143565656205],[0;0.05],34
-3,[1;1.060785521068421],[0;0.05],35
-3,[1;1.062427476480638],[0;0.05],36
-3,[1;1.064069431892855],[0;0.05],37
-3,[1;1.065711387305071],[0;0.05],38
-3,[1;1.067353342717288],[0;0.05],39
-3,[1;1.068995298129504],[0;0.05],40
-3,[1;1.070637253541721],[0;0.05],41
-3,[1;1.072279208953937],[0;0.05],42
-3,[1;1.073921164366154],[0;0.05],43
-3,[1;1.075563119778371],[0;0.05],44
-3,[1;1.077205075190587],[0;0.05],45
-3,[1;1.078847030602804],[0;0.05],46
-3,[1;1.08048898601502],[0;0.05],47
-3,[1;1.082130941427237],[0;0.05],48
-3,[1;1.083772896839453],[0;0.05],49
-3,[1;1.08541485225167],[0;0.05],50
-3,[1;1.087056807663886],[0;0.05],51
-3,[1;1.088698763076103],[0;0.05],52
-3,[1;1.09034071848832],[0;0.05],53
-3,[1;1.091982673900536],[0;0.05],54
-3,[1;1.093624629312753],[0;0.05],55
-3,[1;1.095266584724969],[0;0.05],56
-3,[1;1.096908540137186],[0;0.05],57
-3,[1;1.098550495549403],[0;0.05],58
-3,[1;1.100192450961619],[0;0.05],59
-3,[1;1.101834406373836],[0;0.05],60
-3,[1;1.103476361786052],[0;0.05],61
-3,[1;1.105118317198269],[0;0.05],62
-3,[1;1.106760272610485],[0;0.05],63
-3,[1;1.108402228022702],[0;0.05],64
-3,[1;1.110044183434918],[0;0.05],65
-3,[1;1.111686138847135],[0;0.05],66
-3,[1;1.113328094259352],[0;0.05],67
-3,[1;1.114970049671568],[0;0.05],68
-3,[1;1.116612005083785],[0;0.05],69
-3,[1;1.118253960496001],[0;0.05],70
-3,[1;1.119895915908218],[0;0.05],71
-3,[1;1.121537871320434],[0;0.05],72
-3,[1;1.123179826732651],[0;0.05],73
-3,[1;1.124821782144868],[0;0.05],74
-3,[1;1.126463737557084],[0;0.05],75
-3,[1;1.128105692969301],[0;0.05],76
-3,[1;1.129747648381517],[0;0.05],77
-3,[1;1.131389603793734],[0;0.05],78
-3,[1;1.13303155920595],[0;0.05],79
-3,[1;1.134673514618167],[0;0.05],80
-3,[1;1.136315470030383],[0;0.05],81
-3,[1;1.1379574254426],[0;0.05],82
-3,[1;1.139599380854817],[0;0.05],83
-3,[1;1.141241336267033],[0;0.05],84
-3,[1;1.14288329167925],[0;0.05],85
-3,[1;1.144525247091466],[0;0.05],86
-3,[1;1.146167202503683],[0;0.05],87
-3,[1;1.1478091579159],[0;0.05],88
-3,[1;1.149451113328116],[0;0.05],89
-3,[1;1.151093068740333],[0;0.05],90
-3,[1;1.152735024152549],[0;0.05],91
-3,[1;1.154376979564766],[0;0.05],92
-3,[1;1.156018934976982],[0;0.05],93
-3,[1;1.157660890389199],[0;0.05],94
-3,[1;1.159302845801415],[0;0.05],95
-3,[1;1.160944801213632],[0;0.05],96
-3,[1;1.162586756625849],[0;0.05],97
-3,[1;1.164228712038065],[0;0.05],98
-3,[1;1.165870667450282],[0;0.05],99
-3,[1;1.167512622862498],[0;0.05],100
-3,[1;1.169154578274715],[0;0.05],101
-3,[1;1.170796533686931],[0;0.05],102
-3,[1;1.172438489099148],[0;0.05],103
-3,[1;1.174080444511365],[0;0.05],104
-3,[1;1.175722399923581],[0;0.05],105
-3,[1;1.177364355335798],[0;0.05],106
-3,[1;1.179006310748014],[0;0.05],107
-3,[1;1.180648266160231],[0;0.05],108
-3,[1;1.182290221572447],[0;0.05],109
-3,[1;1.183932176984664],[0;0.05],110
