log10c0,K,deltaE,id
1.5,[1;71.90141791850419],[0;1],61760
0.75,[1;1.319278972106657],[0;0.05],50318
0.15,[1;1.065911431496838],[0;0.05],42157
-1.65,[1;1.152214693825224],[0;0.05],18514
-0.6000000000000001,[1;1.324870518246148],[0;1],33066
0.15,[1;7.502590126264566],[0;1],43673
2.85,[1;20.36398958436133],[0;0.05],78247
-2.7,[1;1.133501451038717],[0;0.05],4443
2.85,[1;84.43977183437225],[0;0.05],78859
-3,[1;1.813083715219409],[0;1],1124
1.2,[1;49.32618425559238],[0;1],57959
0.75,[1;23.21745598415202],[0;1],52023
0.3,[1;1.196805158778784],[0;0.05],44362
3,[1;1564.113406864527],[0;1],81594
0.75,[1;1.718449154806707],[0;0.05],50673
1.35,[1;41.2058464988317],[0;1],59602
0.8999999999999999,[1;1.995676734938796],[0;0.05],52715
-1.95,[1;1.056505371154845],[0;0.05],14189
-2.7,[1;1.165193249191563],[0;0.05],4551
-0.15,[1;1.345809220488036],[0;0.05],38888
2.55,[1;31.83099085580065],[0;0.05],74644
0.45,[1;14.28982147758087],[0;1],47966
2.1,[1;1.376264179385954],[0;0.05],68072
0.6000000000000001,[1;1.396056148432663],[0;0.05],48481
-2.55,[1;1.016770468430721],[0;0.05],6047
-0.8999999999999999,[1;5.126412163850522],[0;1],29672
-2.25,[1;1.072578781036328],[0;0.05],10240
-0.15,[1;6.350766694028536],[0;1],39693
-1.5,[1;2.345874588871596],[0;1],21230
-0.8999999999999999,[1;1.052585804480162],[0;0.05],28180
-1.95,[1;1.066270678951622],[0;0.05],14222
0,[1;1.249523527577432],[0;0.05],40588
-1.95,[1;5.811332544063568],[0;1],15812
-2.25,[1;1.261735759880854],[0;0.05],10881
-2.4,[1;1.184488936114289],[0;0.05],8618
-0.8999999999999999,[1;1.223854516558906],[0;0.05],28727
2.55,[1;43.88032461683513],[0;0.05],74873
1.05,[1;6.028437779604609],[0;1],55168
-0.15,[1;1.222812114251936],[0;0.05],38580
-2.25,[1;1.205962485307351],[0;0.05],10692
2.1,[1;11.92029258098911],[0;1],69082
-2.7,[1;5.319176295024303],[0;1],5725
-2.7,[1;1.021406387201797],[0;0.05],4061
-0.6000000000000001,[1;1.227628717865994],[0;0.05],32702
1.8,[1;1.229911309016491],[0;0.05],64072
1.5,[1;2.343499676218776],[0;0.05],60315
2.1,[1;7.242085273313625],[0;0.05],68383
-2.4,[1;4.324307693444938],[0;1],9557
2.25,[1;99.08887348875913],[0;1],71240
1.35,[1;31.0635565775575],[0;1],59461
2.4,[1;3.05173359482514],[0;0.05],72111
2.25,[1;2.881415067924971],[0;0.05],70125
-2.25,[1;4.582173728772545],[0;1],11602
-1.8,[1;5.614419921304155],[0;1],17779
2.4,[1;344.4786832990118],[0;1],73517
1.65,[1;3.883648594282916],[0;1],63068
-1.95,[1;1.087280886635596],[0;0.05],14293
-0.3,[1;1.031331526664871],[0;0.05],36105
0.75,[1;23.14999060116046],[0;1],52020
2.4,[1;172.7203558358585],[0;1],73287
2.1,[1;9.128201380685866],[0;0.05],68483
-2.1,[1;1.165190595328446],[0;0.05],12555
2.7,[1;306.6365075383999],[0;1],77267
-2.25,[1;1.18914197392804],[0;0.05],10635
-0.45,[1;1.015257245256519],[0;0.05],34062
3,[1;117.4246013389595],[0;0.05],80852
2.4,[1;319.0883218479369],[0;1],73483
1.65,[1;96.6596761025794],[0;1],63742
0.8999999999999999,[1;18.71378955318493],[0;1],53641
1.05,[1;33.4032847769316],[0;1],55870
2.85,[1;1816.374023533876],[0;1],79930
1.5,[1;5.725192405587667],[0;0.05],60997
1.95,[1;192.888882052644],[0;1],67765
0.3,[1;1.41898133229127],[0;0.05],44739
2.85,[1;930.6205630190186],[0;1],79507
-1.35,[1;1.487292162181115],[0;1],23088
1.2,[1;1.834302374101791],[0;0.05],56357
0.75,[1;13.45746391137334],[0;1],51589
-0.15,[1;9.050313571158526],[0;1],40031
2.4,[1;570.7516103482963],[0;1],73820
0.6000000000000001,[1;1.049357495695266],[0;0.05],48088
-3,[1;1.042117101691623],[0;0.05],128
-2.25,[1;1.232226090794344],[0;0.05],10781
2.1,[1;128.8594912380681],[0;1],69392
-3,[1;2.91904815879243],[0;1],1313
0.15,[1;6.737519303505511],[0;1],43597
2.1,[1;7.147779467945012],[0;0.05],68378
-2.4,[1;1.015900687326414],[0;0.05],8046
2.7,[1;64.14207265851746],[0;0.05],76911
0.3,[1;1.506791013599918],[0;0.05],44888
1.35,[1;50.62882507817158],[0;1],59733
0.8999999999999999,[1;27.98204909994159],[0;1],53957
1.95,[1;4.923374395647026],[0;0.05],66342
3,[1;92.74926745367983],[0;0.05],80685
-0.75,[1;6.802603489118185],[0;1],31919
-0.8999999999999999,[1;1.582057829789502],[0;1],29106
2.85,[1;1828.937902406427],[0;1],79936
-2.1,[1;1.064707747906267],[0;0.05],12215
2.25,[1;268.8027601701899],[0;1],71560
1.95,[1;38.07674218423355],[0;1],67189
-0.45,[1;1.068372229032297],[0;0.05],34215
-1.2,[1;4.571796021279974],[0;1],25597
-2.85,[1;5.834869166544728],[0;1],3811
1.95,[1;9.075887522325745],[0;0.05],66651
-2.7,[1;1.148467022388672],[0;0.05],4494
0.45,[1;1.466198996595353],[0;0.05],46686
-2.7,[1;1.235912909884489],[0;0.05],4792
-1.65,[1;1.253899451051026],[0;0.05],18856
0.6000000000000001,[1;12.16756327927316],[0;1],49666
-1.8,[1;5.810160037358518],[0;1],17812
0.15,[1;11.17694341977844],[0;1],44038
1.65,[1;57.15415697070834],[0;1],63455
0.3,[1;10.05145910684458],[0;1],45797
0.8999999999999999,[1;9.973468841370112],[0;1],53343
-0.8999999999999999,[1;6.685677586432137],[0;1],29921
2.4,[1;271.2947002929725],[0;1],73419
1.35,[1;4.531635813132716],[0;0.05],59024
1.2,[1;2.184397065523007],[0;0.05],56490
1.2,[1;3.597937285772581],[0;0.05],57027
-0.45,[1;1.268681677650755],[0;0.05],34792
0.6000000000000001,[1;1.392527408964598],[0;0.05],48477
-2.4,[1;1.418223544758829],[0;1],9064
2.7,[1;958.1294860382845],[0;1],77706
2.1,[1;250.7025917743149],[0;1],69715
2.85,[1;361.0580541300326],[0;1],79235
-0.3,[1;1.744655118978343],[0;1],37122
3,[1;1052.875950319211],[0;1],81421
2.55,[1;38.67122399525254],[0;0.05],74774
-2.7,[1;1.242662089120743],[0;0.05],4815
-2.7,[1;5.148979601240498],[0;1],5696
-1.5,[1;1.057720902349737],[0;0.05],20197
0.6000000000000001,[1;14.16130107872995],[0;1],49779
0.15,[1;1.459520236363667],[0;0.05],42939
-2.7,[1;6.8274711330394],[0;1],5982
2.7,[1;1443.410132893552],[0;1],78033
-1.65,[1;1.094533866626962],[0;0.05],18320
2.4,[1;87.58796744107822],[0;1],73173
-1.5,[1;1.298537333929215],[0;0.05],21002
-2.7,[1;1.224762092015895],[0;0.05],4754
-2.1,[1;1.0765292593677],[0;0.05],12255
-2.1,[1;1.061752370040909],[0;0.05],12205
1.8,[1;1.757910033544808],[0;0.05],64127
1.8,[1;11.7422113384775],[0;1],65105
1.8,[1;3.812305070800441],[0;0.05],64341
1.35,[1;4.092855894552769],[0;0.05],58902
-0.45,[1;1.134679169562844],[0;0.05],34406
-1.8,[1;1.088364548025671],[0;0.05],16298
-2.25,[1;1.205372291925621],[0;0.05],10690
-0.8999999999999999,[1;1.185029433747637],[0;0.05],28603
-1.35,[1;1.294349565176802],[0;0.05],22984
-2.4,[1;1.043900483890834],[0;0.05],8141
0.8999999999999999,[1;19.94564683471588],[0;1],53683
-1.05,[1;1.27622977747558],[0;0.05],26908
-3,[1;5.833176692651501],[0;1],1811
0.75,[1;18.04510995479926],[0;1],51793
1.8,[1;8.564293591555295],[0;0.05],64836
-0.8999999999999999,[1;5.520925102094064],[0;1],29735
-2.1,[1;1.187651467105168],[0;0.05],12631
0.75,[1;17.52787535186399],[0;1],51770
-2.1,[1;5.775590083517303],[0;1],13805
2.85,[1;62.34828481680313],[0;0.05],78648
-3,[1;6.324716445350623],[0;1],1895
-1.05,[1;1.120880181977649],[0;0.05],26403
-2.4,[1;2.367269280942325],[0;1],9225
1.5,[1;50.77823459429381],[0;1],61547
-1.8,[1;1.076204934755628],[0;0.05],16257
-1.35,[1;1.175760854937457],[0;0.05],22590
-2.85,[1;1.040767137830759],[0;0.05],2125
1.95,[1;11.79047539154614],[0;0.05],66853
2.4,[1;35.76049334650389],[0;0.05],72987
1.35,[1;65.87822552717961],[0;1],59945
-3,[1;1.25862865942814],[0;0.05],868
-0.6000000000000001,[1;3.077011512775924],[0;1],33330
0.3,[1;1.530953409127801],[0;0.05],44929
-0.3,[1;2.401166876828457],[0;1],37211
2.85,[1;22.14387242463942],[0;0.05],78264
-0.15,[1;1.172495116246259],[0;0.05],38454
2.85,[1;1426.893778484789],[0;1],79744
0,[1;1.822520978111164],[0;1],41118
-0.8999999999999999,[1;6.52912483316089],[0;1],29896
-1.95,[1;4.100924087537258],[0;1],15523
-2.25,[1;1.07848071485363],[0;0.05],10260
2.7,[1;1357.335889720446],[0;1],77975
-2.4,[1;1.054510933115245],[0;0.05],8177
-2.55,[1;1.260895581947096],[0;0.05],6876
0.3,[1;1.385979035960503],[0;0.05],44683
1.05,[1;1.941642390194885],[0;0.05],54521
-2.55,[1;2.201184801350426],[0;1],7195
-3,[1;4.610178974626309],[0;1],1602
-1.65,[1;1.019905579891065],[0;0.05],18069
-2.55,[1;1.012942209714542],[0;0.05],6034
-2.85,[1;2.619248038601088],[0;1],3263
1.5,[1;10.71360519062718],[0;1],61143
-3,[1;1.696050440767237],[0;1],1104
2.4,[1;36.13388101490204],[0;0.05],72997
-1.2,[1;1.218381105870238],[0;0.05],24727
2.4,[1;115.9654302393383],[0;1],73211
-1.95,[1;4.456026189238223],[0;1],15583
-0.75,[1;3.092323096379949],[0;1],31341
2.55,[1;27.67423379413374],[0;0.05],74565
-2.4,[1;1.263183101195343],[0;0.05],8885
-0.6000000000000001,[1;1.131725546006315],[0;0.05],32413
0.75,[1;22.31791754426458],[0;1],51983
-2.25,[1;5.898304970030864],[0;1],11825
-1.8,[1;1.290629334615179],[0;0.05],16980
0.75,[1;18.69727532371765],[0;1],51822
-1.8,[1;3.004551707245987],[0;1],17339
0,[1;2.264978469983507],[0;1],41168
-1.35,[1;7.109721368452576],[0;1],24022
-1.35,[1;1.062890889608132],[0;0.05],22215
2.4,[1;575.9790377058705],[0;1],73827
-1.05,[1;4.25433809451213],[0;1],27540
2.55,[1;12.52048653134803],[0;0.05],74277
-1.65,[1;1.187298908306641],[0;0.05],18632
-0.3,[1;2.85851214634202],[0;1],37273
-0.6000000000000001,[1;1.322204510184363],[0;0.05],32987
-1.35,[1;5.285742728730677],[0;1],23719
1.05,[1;1.267020092397511],[0;0.05],54175
3,[1;3.947616764739086],[0;0.05],80084
2.25,[1;19.50807240374639],[0;0.05],70752
-1.5,[1;1.113063808986015],[0;0.05],20382
-1.35,[1;2.468508394110716],[0;1],23251
1.5,[1;15.17624955489698],[0;1],61188
-0.15,[1;6.207003842583743],[0;1],39675
-0.8999999999999999,[1;1.235126314794436],[0;0.05],28763
-3,[1;1.298137307629854],[0;1],1036
0.15,[1;1.300466039000601],[0;0.05],42623
-0.45,[1;1.009355580392543],[0;0.05],34045
-0.75,[1;1.05197895893586],[0;0.05],30176
1.95,[1;252.2872898841001],[0;1],67986
1.5,[1;5.878905711468072],[0;0.05],61028
0,[1;8.592120603758023],[0;1],41883
1.35,[1;55.37627993493823],[0;1],59799
-2.55,[1;5.729072449029759],[0;1],7794
0.75,[1;1.055039555389723],[0;0.05],50083
-1.65,[1;6.280169240065975],[0;1],19891
-1.95,[1;3.757658722559661],[0;1],15465
2.25,[1;14.62879816165526],[0;0.05],70568
-2.4,[1;3.687680739980232],[0;1],9449
0.75,[1;1.76117723070136],[0;0.05],50711
-1.35,[1;6.682320433072196],[0;1],23951
2.25,[1;18.55343179116334],[0;0.05],70716
3,[1;7.641529023014492],[0;0.05],80109
0.6000000000000001,[1;1.296369258459824],[0;0.05],48368
1.65,[1;7.999147073502225],[0;0.05],63063
2.85,[1;25.49424012398639],[0;0.05],78296
-2.55,[1;2.990395059762831],[0;1],7329
3,[1;1153.350363744302],[0;1],81455
-0.15,[1;3.890824569306535],[0;1],39385
1.95,[1;2.894152770635743],[0;0.05],66191
1.95,[1;39.68936864119616],[0;1],67195
1.95,[1;31.35746528022268],[0;1],67164
2.7,[1;69.78141962503126],[0;0.05],76987
-0.3,[1;5.00508429841374],[0;1],37564
1.05,[1;1.278718744960471],[0;0.05],54181
1.95,[1;205.5211226321845],[0;1],67812
2.1,[1;203.5496890900088],[0;1],69590
1.65,[1;122.9508055596782],[0;1],63933
0.8999999999999999,[1;5.86727790293362],[0;1],53203
-2.25,[1;5.266798051579562],[0;1],11718
-1.2,[1;1.081389667186162],[0;0.05],24276
2.55,[1;958.5791305286914],[0;1],75969
-1.35,[1;1.583607865928806],[0;1],23104
-1.05,[1;1.436511768252621],[0;1],27082
1.2,[1;31.16337695629618],[0;1],57614
1.65,[1;17.92393762372838],[0;1],63170
1.8,[1;5.252301592241306],[0;0.05],64491
-0.75,[1;1.119380246347195],[0;0.05],30386
-2.85,[1;1.191572727225196],[0;0.05],2639
-1.5,[1;1.162124547841958],[0;0.05],20546
0,[1;9.928342229212502],[0;1],42034
2.25,[1;111.287059093987],[0;1],71263
1.35,[1;4.571197936939106],[0;0.05],59035
-1.05,[1;1.139337559660571],[0;0.05],26463
0.6000000000000001,[1;1.588372449442212],[0;0.05],48699
-1.95,[1;1.136995180873731],[0;0.05],14461
-0.8999999999999999,[1;4.500201150765537],[0;1],29572
-2.1,[1;4.079203188801691],[0;1],13518
0.6000000000000001,[1;15.73159014201892],[0;1],49868
0,[1;8.06117161351121],[0;1],41823
2.25,[1;19.98539271003792],[0;0.05],70770
0.45,[1;15.01476025474705],[0;1],48017
0.75,[1;1.870246266537712],[0;0.05],50808
1.05,[1;25.17523247431622],[0;1],55659
1.2,[1;50.90555880335727],[0;1],57989
-0.45,[1;1.074621050652977],[0;0.05],34233
0.15,[1;6.948920451899459],[0;1],43618
-1.95,[1;1.078403334093071],[0;0.05],14263
-2.1,[1;4.327454929491781],[0;1],13560
-1.95,[1;2.224801316883833],[0;1],15206
-2.4,[1;5.137775467316505],[0;1],9695
2.85,[1;63.29057573224448],[0;0.05],78657
0.3,[1;1.624087008095135],[0;1],45082
-2.85,[1;6.814812101520252],[0;1],3978
-1.95,[1;1.289689084605145],[0;0.05],14977
0.3,[1;10.18111098528688],[0;1],45808
2.4,[1;5.590769739932623],[0;0.05],72179
3,[1;51.82071963198833],[0;0.05],80408
-3,[1;1.030706357432536],[0;0.05],89
-3,[1;1.041531935319362],[0;0.05],126
-1.65,[1;3.610201053259818],[0;1],19442
-2.55,[1;6.983563382177834],[0;1],8007
1.2,[1;2.234410592868895],[0;0.05],56509
-2.7,[1;1.216252257326705],[0;0.05],4725
-2.7,[1;1.240314548516829],[0;0.05],4807
2.85,[1;12.51156528901686],[0;0.05],78172
-2.55,[1;3.149415037204136],[0;1],7356
-2.55,[1;2.837264711115648],[0;1],7303
3,[1;2264.479171033543],[0;1],81831
0.8999999999999999,[1;1.711176362775696],[0;0.05],52521
0.75,[1;1.375500124599622],[0;0.05],50368
3,[1;146.2371169535077],[0;0.05],81047
1.8,[1;126.5579339813625],[0;1],65703
1.95,[1;110.3761616713905],[0;1],67458
0.15,[1;1.16808865322058],[0;0.05],42360
-1.05,[1;1.167946495069101],[0;0.05],26556
-1.5,[1;6.833137289110304],[0;1],21980
0.8999999999999999,[1;1.036587851461129],[0;0.05],52061
0.6000000000000001,[1;18.30756995370644],[0;1],50014
-2.85,[1;4.209454837273945],[0;1],3534
1.35,[1;2.161504941459063],[0;0.05],58365
2.85,[1;23.40026031189453],[0;0.05],78276
-1.35,[1;1.247395659599803],[0;0.05],22828
1.5,[1;47.80313835144729],[0;1],61517
-0.75,[1;5.242745123313009],[0;1],31676
1.65,[1;6.670825611402728],[0;0.05],62870
1.8,[1;115.9979594907961],[0;1],65648
1.2,[1;50.53703807554546],[0;1],57982
-2.7,[1;5.56566805843533],[0;1],5767
0.3,[1;1.292276087449932],[0;0.05],44524
1.95,[1;7.691716480099505],[0;0.05],66548
-1.35,[1;1.26846471979461],[0;0.05],22898
1.95,[1;5.178706917999439],[0;0.05],66361
3,[1;399.7922630561191],[0;1],81200
-2.4,[1;1.246383223256691],[0;0.05],8828
3,[1;2164.004757608453],[0;1],81797
0,[1;1.094220947930239],[0;0.05],40237
1.05,[1;1.541938427627077],[0;0.05],54316
1.65,[1;2.534446343414138],[0;0.05],62269
-0.15,[1;4.865217229099016],[0;1],39507
-1.5,[1;1.189646425736755],[0;0.05],20638
0.75,[1;22.63275599822519],[0;1],51997
0.3,[1;9.874661090786901],[0;1],45782
-2.4,[1;1.20158354875362],[0;0.05],8676
-0.8999999999999999,[1;1.02471941439788],[0;0.05],28091
-0.15,[1;5.951425440015224],[0;1],39643
-0.75,[1;1.29654934468556],[0;0.05],30938
-2.25,[1;3.555237244562019],[0;1],11428
-0.6000000000000001,[1;1.922191311835844],[0;1],33156
0.3,[1;9.733222677940757],[0;1],45770
0.75,[1;11.54594472661254],[0;1],51504
-1.65,[1;6.987800006725067],[0;1],20010
1.65,[1;79.31578965444089],[0;1],63616
-0.15,[1;3.060194760958846],[0;1],39281
-2.25,[1;5.815677896588637],[0;1],11811
0,[1;5.93737565252396],[0;1],41583
-1.35,[1;3.582158718693393],[0;1],23436
0.6000000000000001,[1;1.807154296462248],[0;0.05],48947
-2.55,[1;5.104771796852781],[0;1],7688
-2.7,[1;5.847372930905077],[0;1],5815
-2.85,[1;6.932170536846662],[0;1],3998
-0.15,[1;1.339819101677836],[0;0.05],38873
1.05,[1;33.5982623196476],[0;1],55875
1.2,[1;50.4317464390278],[0;1],57980
-2.1,[1;1.218091859118358],[0;0.05],12734
-2.1,[1;6.354844145127512],[0;1],13903
0.75,[1;1.968071071875471],[0;0.05],50895
-1.05,[1;6.413851283414069],[0;1],27891
2.4,[1;379.5771241284388],[0;1],73564
-1.2,[1;6.145223188427465],[0;1],25856
-1.65,[1;1.26134262611409],[0;1],19047
-2.25,[1;5.355327058839091],[0;1],11733
-1.5,[1;5.66644898704824],[0;1],21785
-2.85,[1;1.089470888491219],[0;0.05],2291
0.8999999999999999,[1;1.241897398382954],[0;0.05],52201
-2.7,[1;4.744028847065239],[0;1],5627
3,[1;1974.876449984752],[0;1],81733
-2.25,[1;2.315831142928625],[0;1],11218
-2.25,[1;1.191207650764096],[0;0.05],10642
-1.65,[1;5.162231558285223],[0;1],19703
-1.8,[1;1.117725565433826],[0;0.05],16397
-1.2,[1;1.021550834767618],[0;0.05],24079
2.1,[1;329.919468283949],[0;1],69925
1.8,[1;3.591505604179509],[0;0.05],64318
-1.95,[1;1.840107373374456],[0;1],15141
1.95,[1;5.528109317008004],[0;0.05],66387
-1.2,[1;3.970370192910856],[0;1],25498
-0.6000000000000001,[1;2.068203061379992],[0;1],33178
1.65,[1;15.44623955970859],[0;1],63152
1.35,[1;69.8344379078185],[0;1],60000
2.25,[1;495.2647277107241],[0;1],71987
1.05,[1;1.21827570671851],[0;0.05],54150
-1.5,[1;1.010754219420572],[0;0.05],20040
2.25,[1;11.4731805811724],[0;0.05],70449
3,[1;2917.562858296635],[0;1],82052
1.95,[1;8.323328509076529],[0;0.05],66595
-1.2,[1;2.488068151273839],[0;1],25254
-1.5,[1;4.942503938076396],[0;1],21664
0.8999999999999999,[1;1.104046702592586],[0;0.05],52107
-3,[1;1.009640368031145],[0;0.05],17
-0.3,[1;3.153573610544318],[0;1],37313
1.5,[1;3.077356749454254],[0;0.05],60463
1.05,[1;2.789794701009503],[0;0.05],54956
-1.2,[1;1.112068459441354],[0;0.05],24377
-1.8,[1;1.195131884055324],[0;0.05],16658
1.5,[1;4.688867214329458],[0;0.05],60788
-1.95,[1;1.250331934999955],[0;0.05],14844
1.05,[1;1.7018200126542],[0;0.05],54398
-1.05,[1;1.015980752146372],[0;0.05],26062
1.05,[1;1.419102575715994],[0;0.05],54253
2.7,[1;438.7159496488549],[0;1],77356
0.15,[1;1.466063605242528],[0;0.05],42952
1.2,[1;2.102796047221822],[0;0.05],56459
0.15,[1;1.303486055406229],[0;0.05],42629
0,[1;8.574422304083129],[0;1],41881
1.5,[1;1.36171791607942],[0;0.05],60117
2.4,[1;38.22485195793174],[0;0.05],73053
2.25,[1;5.771854700468088],[0;0.05],70234
1.35,[1;3.244068511070246],[0;0.05],58666
-0.75,[1;4.510959717132804],[0;1],31562
2.55,[1;18.41361046687581],[0;0.05],74389
-0.6000000000000001,[1;3.972992703160469],[0;1],33465
-1.2,[1;1.102955946890307],[0;0.05],24347
2.1,[1;18.48333727325219],[0;0.05],68979
-1.8,[1;1.074128903221718],[0;0.05],16250
-2.55,[1;6.459386419500938],[0;1],7918
2.4,[1;155.5445230895432],[0;1],73264
-1.95,[1;1.263352345395657],[0;0.05],14888
0.45,[1;2.562870670480894],[0;1],47141
-2.1,[1;1.278677105358201],[0;0.05],12939
1.05,[1;1.512691796219676],[0;0.05],54301
-1.8,[1;1.298043732950572],[0;0.05],17005
-1.05,[1;6.906048021625337],[0;1],27971
