log10c0,omega,deltaE,gtype,h,max_batches,tf_var,environment_type,id,final_rho,n_batches,end_S,end_NutIntegrals
-3,[0;5.433742063650485e-07],[0;0.05],hill,1,1406110,1,stochastic-tf,1,[0;0.942381267577998],1406110,0,0.0010190494868992
-3,[0;5.518079867753731e-07],[0;0.05],hill,1,1408130,1,stochastic-tf,2,[0;0.938594240358911],1408130,0,0.00102080527413342
-3,[0;5.603726689678871e-07],[0;0.05],hill,1,1410200,1,stochastic-tf,3,[0;0.941196975055825],1410200,0,0.00102021690527036
-3,[0;5.690702846858619e-07],[0;0.05],hill,1,1412300,1,stochastic-tf,4,[0;0.938287999771521],1412300,0,0.00102349845550248
-3,[0;5.779028972075106e-07],[0;0.05],hill,1,1414440,1,stochastic-tf,5,[0;0.938478435128504],1414440,0,0.000998561368545536
-3,[0;5.868726018354556e-07],[0;0.05],hill,1,1416620,1,stochastic-tf,6,[0;0.939426328246454],1416620,0,0.00102224924369258
-3,[0;5.959815263937742e-07],[0;0.05],hill,1,1418850,1,stochastic-tf,7,[0;0.9412472178068],1418850,0,0.000996032834525448
-3,[0;6.052318317327773e-07],[0;0.05],hill,1,1421110,1,stochastic-tf,8,[0;0.937724827178039],1421110,0,0.00102410249023853
-3,[0;6.146257122416045e-07],[0;0.05],hill,1,1423420,1,stochastic-tf,9,[0;0.942251681712023],1423420,0,0.00101353186524156
-3,[0;6.241653963687945e-07],[0;0.05],hill,1,1425780,1,stochastic-tf,10,[0;0.938648839628206],1425780,0,0.00102293875967676
-3,[0;6.338531471509147e-07],[0;0.05],hill,1,1428170,1,stochastic-tf,11,[0;0.939192625960609],1428170,0,0.00100429280293446
-3,[0;6.436912627494173e-07],[0;0.05],hill,1,1430620,1,stochastic-tf,12,[0;0.938477425583991],1430620,0,0.00100083749136697
-3,[0;6.536820769958066e-07],[0;0.05],hill,1,1433110,1,stochastic-tf,13,[0;0.935574954396954],1433110,0,0.00102214242027859
-3,[0;6.638279599452888e-07],[0;0.05],hill,1,1435650,1,stochastic-tf,14,[0;0.935025468785175],1435650,0,0.00102666269915273
-3,[0;6.741313184389939e-07],[0;0.05],hill,1,1438240,1,stochastic-tf,15,[0;0.943760450365176],1438240,0,0.00101710745963304
-3,[0;6.845945966749459e-07],[0;0.05],hill,1,1440880,1,stochastic-tf,16,[0;0.937172001315168],1440880,0,0.00102471083312066
