log10c0,omega,deltaE,gtype,h,id,final_rho,n_batches,end_S,end_NutIntegrals
-3,[0;5.433742063650485e-07],[0;0.05],linear,NaN,1,[0.00232800152763215;0.992649175869723],140611,0.0165105627881917,0.000965207543470741
-3,[0;5.433742063650485e-07],[0;0.05],hill,1,2,[0.00232800149384761;0.992648786990702],140611,0.0165105681205423,0.000965235391825331
-3,[0;5.518079867753731e-07],[0;0.05],linear,NaN,3,[0.00233191111077819;0.992568538356257],140813,0.0165354471370846,0.000965282103665434
-3,[0;5.518079867753731e-07],[0;0.05],hill,1,4,[0.00233191107844082;0.992568149766088],140813,0.0165354524826884,0.000965309953052556
-3,[0;5.603726689678871e-07],[0;0.05],linear,NaN,5,[0.00233577381069408;0.9924867689889],141020,0.016560059727838,0.000965357816173092
-3,[0;5.603726689678871e-07],[0;0.05],hill,1,6,[0.00233577377985325;0.992486380687102],141020,0.0165600650869034,0.000965385667266265
-3,[0;5.690702846858619e-07],[0;0.05],linear,NaN,7,[0.00233979842593251;0.992403642175433],141230,0.0165856709957098,0.000965434706959498
-3,[0;5.690702846858619e-07],[0;0.05],hill,1,8,[0.00233979839680473;0.992403254164491],141230,0.0165856763698326,0.000965462559875032
-3,[0;5.779028972075106e-07],[0;0.05],linear,NaN,9,[0.00234389556486906;0.992319228673731],141444,0.0166117370929771,0.000965512791595262
-3,[0;5.779028972075106e-07],[0;0.05],hill,1,10,[0.00234389553745494;0.992318840964634],141444,0.0166117424821421,0.000965540645354436
-3,[0;5.868726018354556e-07],[0;0.05],linear,NaN,11,[0.0023480755910099;0.992233499758107],141662,0.0166383210871231,0.000965592087117602
-3,[0;5.868726018354556e-07],[0;0.05],hill,1,12,[0.00234807556517099;0.992233112349143],141662,0.0166383264906732,0.000965619943488087
-3,[0;5.959815263937742e-07],[0;0.05],linear,NaN,13,[0.00235224969876479;0.992146525023913],141885,0.0166648832574369,0.000965672611331484
-3,[0;5.959815263937742e-07],[0;0.05],hill,1,14,[0.00235224967466892;0.992146137924072],141885,0.0166648886762427,0.000965700469349493
-3,[0;6.052318317327773e-07],[0;0.05],linear,NaN,15,[0.00235662771801982;0.992058076855934],142111,0.0166926990230693,0.000965754389625725
-3,[0;6.052318317327773e-07],[0;0.05],hill,1,16,[0.00235662769582481;0.992057690062637],142111,0.0166927044585218,0.000965782248866437
-3,[0;6.146257122416045e-07],[0;0.05],linear,NaN,17,[0.00236102199058796;0.991968322579654],142342,0.0167206278758941,0.000965837434332436
-3,[0;6.146257122416045e-07],[0;0.05],hill,1,18,[0.00236102196994695;0.991967936106982],142342,0.0167206333257123,0.000965865295466063
-3,[0;6.241653963687945e-07],[0;0.05],linear,NaN,19,[0.00236544407510024;0.991877231157577],142578,0.0167487403391483,0.000965921766390176
-3,[0;6.241653963687945e-07],[0;0.05],hill,1,20,[0.00236544405642941;0.99187684500088],142578,0.0167487458059688,0.000965949629013894
-3,[0;6.338531471509147e-07],[0;0.05],linear,NaN,21,[0.002370104671142;0.991784573302992],142817,0.016778316064271,0.000966007412045114
-3,[0;6.338531471509147e-07],[0;0.05],hill,1,22,[0.00237010465434374;0.991784187472291],142817,0.0167783215478193,0.000966035276271382
-3,[0;6.436912627494173e-07],[0;0.05],linear,NaN,23,[0.00237471772320672;0.991690613242085],143062,0.0168076178897842,0.000966094382903143
-3,[0;6.436912627494173e-07],[0;0.05],hill,1,24,[0.00237471770830789;0.991690227739328],143062,0.0168076233900916,0.000966122248888106
-3,[0;6.536820769958066e-07],[0;0.05],linear,NaN,25,[0.00237949459183641;0.991595120472328],143311,0.0168379291850025,0.000966182705262918
-3,[0;6.536820769958066e-07],[0;0.05],hill,1,26,[0.00237949457873901;0.991594735300335],143311,0.0168379347017478,0.000966210573682064
-3,[0;6.638279599452888e-07],[0;0.05],linear,NaN,27,[0.00238434876324119;0.991498160257282],143565,0.0168687247052232,0.000966272398550939
-3,[0;6.638279599452888e-07],[0;0.05],hill,1,28,[0.00238434875236742;0.991497775424724],143565,0.0168687302409777,0.000966300268997888
-3,[0;6.741313184389939e-07],[0;0.05],linear,NaN,29,[0.00238929350113107;0.991399698386641],143824,0.0169000849750623,0.000966363483642332
-3,[0;6.741313184389939e-07],[0;0.05],hill,1,30,[0.00238929349202167;0.991399313896904],143824,0.0169000905271638,0.000966391355708241
-3,[0;6.845945966749459e-07],[0;0.05],linear,NaN,31,[0.00239434244569492;0.99129969997541],144088,0.0169320927195681,0.000966455982280283
-3,[0;6.845945966749459e-07],[0;0.05],hill,1,32,[0.00239434243861956;0.991299315834335],144088,0.0169320982897559,0.000966483856102205
-3,[0;6.952202767878727e-07],[0;0.05],linear,NaN,33,[0.0023995096292788;0.991198129438599],144357,0.0169648329525387,0.00096654991762938
-3,[0;6.952202767878727e-07],[0;0.05],hill,1,34,[0.00239950962462395;0.991197745651426],144357,0.0169648385432926,0.000966577793359468
-3,[0;7.060108794380377e-07],[0;0.05],linear,NaN,35,[0.0024047101441005;0.991095049157682],144632,0.0169977909495751,0.000966645308307783
-3,[0;7.060108794380377e-07],[0;0.05],hill,1,36,[0.0024047101414798;0.991094665724168],144632,0.0169977965586137,0.000966673186100821
-3,[0;7.169689644091884e-07],[0;0.05],linear,NaN,37,[0.00241015754833923;0.990990224711294],144911,0.017032260958664,0.000966742185218228
-3,[0;7.169689644091884e-07],[0;0.05],hill,1,38,[0.00241015754788342;0.990989841642891],144911,0.0170322665870775,0.000966770064116787
-3,[0;7.280971312158083e-07],[0;0.05],linear,NaN,39,[0.00241556912745712;0.990883914298272],145197,0.0170665297308676,0.000966840559011001
-3,[0;7.280971312158083e-07],[0;0.05],hill,1,40,[0.00241556912938231;0.990883531595823],145197,0.0170665353798648,0.000966868440264795
-3,[0;7.39398019719771e-07],[0;0.05],linear,NaN,41,[0.00242115931919408;0.990775881989689],145488,0.0171018964586481,0.000966940463464115
-3,[0;7.39398019719771e-07],[0;0.05],hill,1,42,[0.00242115932325534;0.990775499661299],145488,0.0171019021269615,0.000966968346686693
-3,[0;7.508743107565892e-07],[0;0.05],linear,NaN,43,[0.00242684503120718;0.990666187034282],145785,0.0171378576896128,0.000967041915896861
-3,[0;7.508743107565892e-07],[0;0.05],hill,1,44,[0.00242684503771456;0.990665805082815],145785,0.0171378633792419,0.000967069802884306
-3,[0;7.625287267713598e-07],[0;0.05],linear,NaN,45,[0.00243264299400475;0.990554789192035],146088,0.0171745146719395,0.00096714494434367
-3,[0;7.625287267713598e-07],[0;0.05],hill,1,46,[0.0024326430030784;0.990554407623015],146088,0.0171745203837279,0.000967172832511674
-3,[0;7.743640324646035e-07],[0;0.05],linear,NaN,47,[0.00243857044365763;0.990441647392394],146397,0.0172119715891932,0.00096724957228367
