log10c0,Omega,deltaE,gtype,h,max_batches,tf_var,environment_type,id,final_rho,n_batches,end_S,end_NutIntegrals
-3,[0;5.433742063650485e-07],[0;0.05],hill,1,843666,1,stochastic-c0,1,[1.78627201526552e-16;0.908135758741236],843666,7.33555085902008e-15,0.000184711374194531
-3,[0;5.518079867753731e-07],[0;0.05],hill,1,844878,1,stochastic-c0,2,[1.91143932569769e-16;0.96434176285098],844878,7.38882799261334e-15,0.00107605130016268
-3,[0;5.603726689678871e-07],[0;0.05],hill,1,846120,1,stochastic-c0,3,[1.92122989681167e-16;0.958997450560772],846120,7.46354376435442e-15,0.000892919440274063
-3,[0;5.690702846858619e-07],[0;0.05],hill,1,847380,1,stochastic-c0,4,[2.07249877346742e-16;1.0267133034457],847380,7.51696998469331e-15,0.00143900897676309
-3,[0;5.779028972075106e-07],[0;0.05],hill,1,848664,1,stochastic-c0,5,[1.9992431932693e-16;0.977308885177947],848664,7.61212787256554e-15,0.00116103321824297
-3,[0;5.868726018354556e-07],[0;0.05],hill,1,849978,1,stochastic-c0,6,[2.06713659813396e-16;1.00063749467841],849978,7.682924642897e-15,0.00141096795990114
-3,[0;5.959815263937742e-07],[0;0.05],hill,1,851310,1,stochastic-c0,7,[1.9924043634864e-16;0.951220318200093],851310,7.78388915815798e-15,0.0011918205947378
-3,[0;6.052318317327773e-07],[0;0.05],hill,1,852666,1,stochastic-c0,8,[2.09885897845365e-16;0.992423678182518],852666,7.85515339522974e-15,0.000233442407008459
-3,[0;6.146257122416045e-07],[0;0.05],hill,1,854052,1,stochastic-c0,9,[2.18159105543826e-16;1.02092377925157],854052,7.93233626514952e-15,0.000123036471798144
-3,[0;6.241653963687945e-07],[0;0.05],hill,1,855468,1,stochastic-c0,10,[2.13418670427455e-16;0.985412590352385],855468,8.03370509703062e-15,0.000591791802695307
-3,[0;6.338531471509147e-07],[0;0.05],hill,1,856908,1,stochastic-c0,11,[2.14863400591471e-16;0.97989811061432],856908,8.12813453157625e-15,0.000363441796855137
-3,[0;6.436912627494173e-07],[0;0.05],hill,1,858372,1,stochastic-c0,12,[2.0325124016305e-16;0.912351551352223],858372,8.25101944288182e-15,0.000273507730673401
-3,[0;6.536820769958066e-07],[0;0.05],hill,1,859866,1,stochastic-c0,13,[2.16845818502965e-16;0.963687262438483],859866,8.32947995204787e-15,0.00292966700290688
-3,[0;6.638279599452888e-07],[0;0.05],hill,1,861390,1,stochastic-c0,14,[2.2256887827725e-16;0.977206211464628],861390,8.42557280352157e-15,0.000124163809884421
-3,[0;6.741313184389939e-07],[0;0.05],hill,1,862944,1,stochastic-c0,15,[2.38555550809508e-16;1.03678787988253],862944,8.50717408734305e-15,0.00294713454457627
-3,[0;6.845945966749459e-07],[0;0.05],hill,1,864528,1,stochastic-c0,16,[2.33128248775182e-16;0.998058578781999],864528,8.62935170345998e-15,0.000192570649788417
-3,[0;6.952202767878727e-07],[0;0.05],hill,1,866142,1,stochastic-c0,17,[2.28913594849174e-16;0.965322301847309],866142,8.75373292547525e-15,0.00113317197391289
-3,[0;7.060108794380377e-07],[0;0.05],hill,1,867792,1,stochastic-c0,18,[2.37650631156272e-16;0.989828708102028],867792,8.8570996234164e-15,0.00193972405943599
