log10c0,Omega,deltaE,gtype,h,id,final_rho,n_batches,end_S,end_NutIntegrals
-3,[0;5.433742063650485e-07],[0;0.05],linear,NaN,1,[0.00232800626907027;0.9926486556234],140611,0.0165105989848688,0.000964721322600223
-3,[0;5.433742063650485e-07],[0;0.05],hill,1,2,[0.00232800625333034;0.992648266399762],140611,0.0165106044317026,0.000965235417319091
-3,[0;5.518079867753731e-07],[0;0.05],linear,NaN,3,[0.00233191594322505;0.992568010022884],140813,0.0165354840067199,0.000964795845297942
-3,[0;5.518079867753731e-07],[0;0.05],hill,1,4,[0.00233191592941714;0.992567621082479],140813,0.0165354894698145,0.000965309979736931
-3,[0;5.603726689678871e-07],[0;0.05],linear,NaN,5,[0.00233577873585936;0.992486232442174],141020,0.0165600972827579,0.000964871520275299
-3,[0;5.603726689678871e-07],[0;0.05],hill,1,6,[0.0023357787241619;0.992485843778859],141020,0.0165601027631847,0.00096538569349782
-3,[0;5.690702846858619e-07],[0;0.05],linear,NaN,7,[0.00233980344630997;0.992403097278083],141230,0.0165857092532835,0.000964948372946087
-3,[0;5.690702846858619e-07],[0;0.05],hill,1,8,[0.00233980343626548;0.992402708909838],141230,0.0165857147483255,0.000965462586750159
-3,[0;5.779028972075106e-07],[0;0.05],linear,NaN,9,[0.00234390068256371;0.992318675305471],141444,0.0166117760679239,0.000965026418313302
-3,[0;5.779028972075106e-07],[0;0.05],hill,1,10,[0.00234390067467909;0.992318287230169],141444,0.0166117815808248,0.000965540673428556
-3,[0;5.868726018354556e-07],[0;0.05],linear,NaN,11,[0.00234798135423003;0.992233036680831],141663,0.0166377561898623,0.000965105670615289
-3,[0;5.868726018354556e-07],[0;0.05],hill,1,12,[0.00234798134829611;0.992232648905591],141663,0.0166377617192114,0.000965619967765866
-3,[0;5.959815263937742e-07],[0;0.05],linear,NaN,13,[0.0023522550175375;0.992145954312071],141885,0.0166649237126408,0.000965186158223477
-3,[0;5.959815263937742e-07],[0;0.05],hill,1,14,[0.00235225501378506;0.992145566834536],141885,0.0166649292602463,0.000965700497620262
-3,[0;6.052318317327773e-07],[0;0.05],linear,NaN,15,[0.00235663314102934;0.992057497266303],142111,0.0166927402442001,0.000965267895396657
-3,[0;6.052318317327773e-07],[0;0.05],hill,1,16,[0.00235663313955814;0.992057110092551],142111,0.0166927458107777,0.000965782278339259
-3,[0;6.146257122416045e-07],[0;0.05],linear,NaN,17,[0.00236102751990227;0.991967733975297],142342,0.0167206698776738,0.000965350898887258
-3,[0;6.146257122416045e-07],[0;0.05],hill,1,18,[0.00236102752037665;0.991967347116848],142342,0.0167206754610463,0.000965865324489802
-3,[0;6.241653963687945e-07],[0;0.05],linear,NaN,19,[0.00236544971341693;0.991876633398202],142578,0.0167487831401746,0.000965435189083722
-3,[0;6.241653963687945e-07],[0;0.05],hill,1,20,[0.00236544971624904;0.991876246848261],142578,0.0167487887429842,0.000965949658696443
-3,[0;6.338531471509147e-07],[0;0.05],linear,NaN,21,[0.00237001100987119;0.99178406505705],142818,0.0167777560580377,0.00096552078836314
-3,[0;6.338531471509147e-07],[0;0.05],hill,1,22,[0.00237001101478315;0.991783678827437],142818,0.0167777616786943,0.000966035303312214
-3,[0;6.436912627494173e-07],[0;0.05],linear,NaN,23,[0.00237472358715117;0.991689996743173],143062,0.0168076623426081,0.000965607719337493
-3,[0;6.436912627494173e-07],[0;0.05],hill,1,24,[0.00237472359464406;0.99168961083511],143062,0.0168076679844166,0.00096612227988724
-3,[0;6.536820769958066e-07],[0;0.05],linear,NaN,25,[0.00237950057252512;0.991594494381598],143311,0.0168379744911687,0.00096569599783009
-3,[0;6.536820769958066e-07],[0;0.05],hill,1,26,[0.00237950058239913;0.991594108804208],143311,0.0168379801529017,0.000966210604786285
-3,[0;6.638279599452888e-07],[0;0.05],linear,NaN,27,[0.00238435486372737;0.991497524422758],143565,0.0168687708857035,0.000965785646563814
-3,[0;6.638279599452888e-07],[0;0.05],hill,1,28,[0.00238435487615231;0.991497139177062],143565,0.0168687765685139,0.000966300300219369
-3,[0;6.741313184389939e-07],[0;0.05],linear,NaN,29,[0.00238929972396676;0.991399052661418],143824,0.0169001320477343,0.000965876685851104
-3,[0;6.741313184389939e-07],[0;0.05],hill,1,30,[0.00238929973874019;0.991398667757041],143824,0.0169001377504216,0.000966391387588819
-3,[0;6.845945966749459e-07],[0;0.05],linear,NaN,31,[0.00239434879405606;0.991299044206795],144088,0.0169321407061833,0.000965969138518452
